{'academic_degree': 'Доктор наук', 'address': 'Аллея Плетешковская 439', 'age': 18, 'passport_number': 102808, 'snils': '00060862696', 'telephone': '+7-(968)-542-59-85', 'university': 'Госуниверситет нефти и газа имени Губкина', 'weight': 87, 'worldview': 'Пантеизм'}
{'academic_degree': 'Бакалавр', 'address': 'ул. Слесарная 495', 'age': 48, 'passport_number': 763728, 'snils': '75827257546', 'telephone': '+7-(926)-472-50-03', 'university': 'Авиационно-технический университетАвиационно-технический университет', 'weight': 61, 'worldview': 'Атеизм'}
{'academic_degree': 'Бакалавр', 'address': 'Аллея Брестская 1-я 295', 'age': 48, 'passport_number': 832916, 'snils': '16953661815', 'telephone': '+7-(968)-844-21-93', 'university': 'Санкт-Петербургский политехнический университет', 'weight': 48, 'worldview': 'Деизм'}
{'academic_degree': 'Доктор наук', 'address': 'Аллея Калибровская 888', 'age': 48, 'passport_number': 766874, 'snils': '42062691757', 'telephone': '+7-(948)-997-75-14', 'university': 'Госуниверситет нефти и газа имени Губкина', 'weight': 52, 'worldview': 'Буддизм'}
{'academic_degree': 'Магистр', 'address': 'ул. Ильинка 172', 'age': 48, 'passport_number': 19954, 'snils': '16733593495', 'telephone': '+7-(916)-804-33-38', 'university': 'Университет аэрокосмического приборостроения', 'weight': 90, 'worldview': 'Агностицизм'}
{'academic_degree': 'Магистр', 'address': 'Аллея Авиаконструктора Миля 1194', 'age': 48, 'passport_number': 256635, 'snils': '47855597062', 'telephone': '+7-(924)-007-83-67', 'university': 'Университет аэрокосмического приборостроения', 'weight': 77, 'worldview': 'Секулярный гуманизм'}
{'academic_degree': 'Специалист', 'address': 'ул. Бойцовая 846', 'age': 48, 'passport_number': 195712, 'snils': '12253230404', 'telephone': '+7-(967)-471-36-37', 'university': 'Филиал Российской академии правосудия', 'weight': 73, 'worldview': 'Секулярный гуманизм'}
{'academic_degree': 'Кандидат наук', 'address': 'ул. Чоботовская 5-я 1171', 'age': 48, 'passport_number': 831324, 'snils': '83737633843', 'telephone': '+7-(995)-981-78-13', 'university': 'Новосибирский технический госуниверситет', 'weight': 85, 'worldview': 'Католицизм'}
{'academic_degree': 'Специалист', 'address': 'Аллея Хлебобулочная 314', 'age': 48, 'passport_number': 242662, 'snils': '14606800751', 'telephone': '+7-(909)-098-27-41', 'university': 'Московский авиационный институт', 'weight': 74, 'worldview': 'Агностицизм'}
{'academic_degree': 'Специалист', 'address': 'ул. Тепличная 1234', 'age': 48, 'passport_number': 755433, 'snils': '15659191704', 'telephone': '+7-(968)-248-09-73', 'university': 'Бауманское МГТУ', 'weight': 58, 'worldview': 'Атеизм'}
{'academic_degree': 'Кандидат наук', 'address': 'ул. Новорогожская 400', 'age': 48, 'passport_number': 447030, 'snils': '40837981611', 'telephone': '+7-(968)-546-70-12', 'university': 'Университет аэрокосмического приборостроения', 'weight': 47, 'worldview': 'Буддизм'}
{'academic_degree': 'Магистр', 'address': 'ул. Микульская 85', 'age': 48, 'passport_number': 232564, 'snils': '44787346337', 'telephone': '+7-(915)-787-22-47', 'university': 'Санкт-Петербургский государственный архитектурно-строительный университет', 'weight': 79, 'worldview': 'Атеизм'}
{'academic_degree': 'Магистр', 'address': 'ул. Воздвиженка 565', 'age': 48, 'passport_number': 505720, 'snils': '67529886270', 'telephone': '+7-(960)-955-23-65', 'university': 'Санкт-Петербургский государственный политехнический университет', 'weight': 84, 'worldview': 'Буддизм'}
{'academic_degree': 'Специалист', 'address': 'ул. Ясногорская 1347', 'age': 48, 'passport_number': 705944, 'snils': '30646618974', 'telephone': '+7-(909)-916-78-22', 'university': 'Санкт-Петербургский политехнический университет', 'weight': 50, 'worldview': 'Иудаизм'}
{'academic_degree': 'Доктор наук', 'address': 'Аллея Тупиковая 1067', 'age': 48, 'passport_number': 352389, 'snils': '75732298534', 'telephone': '+7-(928)-744-46-69', 'university': 'Госуниверситет гражданской авиации', 'weight': 75, 'worldview': 'Секулярный гуманизм'}
{'academic_degree': 'Магистр', 'address': 'ул. Алешкинская 484', 'age': 48, 'passport_number': 863237, 'snils': '87984293805', 'telephone': '+7-(913)-130-98-56', 'university': 'Санкт-Петербургский государственный архитектурно-строительный университет', 'weight': 86, 'worldview': 'Пантеизм'}
{'academic_degree': 'Магистр', 'address': 'ул. Арбатские Ворота 1215', 'age': 48, 'passport_number': 170738, 'snils': '18835297322', 'telephone': '+7-(965)-023-78-74', 'university': 'Филиал Российской академии правосудия', 'weight': 54, 'worldview': 'Конфуцианство'}
{'academic_degree': 'Доктор наук', 'address': 'Аллея Северная 3-я 108', 'age': 48, 'passport_number': 143812, 'snils': '54277698942', 'telephone': '+7-(965)-175-89-06', 'university': 'Санкт-Петербургский государственный политехнический университет', 'weight': 86, 'worldview': 'Атеизм'}
{'academic_degree': 'Магистр', 'address': 'ул. Черемушкинская 311', 'age': 48, 'passport_number': 132324, 'snils': '01911914836', 'telephone': '+7-(928)-655-77-23', 'university': 'СПбГУ', 'weight': 55, 'worldview': 'Секулярный гуманизм'}
{'academic_degree': 'Кандидат наук', 'address': 'Аллея Дубровская 2-я 291', 'age': 48, 'passport_number': 360580, 'snils': '27297518014', 'telephone': '+7-(928)-836-50-47', 'university': 'Филиал Российской академии правосудия', 'weight': 88, 'worldview': 'Деизм'}
{'academic_degree': 'Специалист', 'address': 'ул. Грайвороново 90а 780', 'age': 48, 'passport_number': 940895, 'snils': '19487177130', 'telephone': '+7-(999)-426-32-06', 'university': 'МФТИ', 'weight': 47, 'worldview': 'Конфуцианство'}
{'academic_degree': 'Бакалавр', 'address': 'ул. Берсеневская 628', 'age': 48, 'passport_number': 445775, 'snils': '50734181263', 'telephone': '+7-(937)-593-30-21', 'university': 'Государственный технологический университет им. К.Э. Циолковского', 'weight': 87, 'worldview': 'Иудаизм'}
{'academic_degree': 'Магистр', 'address': 'Аллея Санникова 760', 'age': 48, 'passport_number': 367189, 'snils': '38088207403', 'telephone': '+7-(909)-678-58-85', 'university': 'Ульяновский высший авиационный институт гражданской авиации', 'weight': 84, 'worldview': 'Секулярный гуманизм'}
{'academic_degree': 'Бакалавр', 'address': 'ул. Ле Зуана 759', 'age': 48, 'passport_number': 818596, 'snils': '18258423387', 'telephone': '+7-(911)-810-79-80', 'university': 'САУ им. С.П. Королева', 'weight': 48, 'worldview': 'Атеизм'}
{'academic_degree': 'Кандидат наук', 'address': 'Аллея Звенигородская 2-я 1020', 'age': 48, 'passport_number': 809103, 'snils': '97196006947', 'telephone': '+7-(999)-170-68-25', 'university': 'Санкт-Петербургский государственный архитектурно-строительный университет', 'weight': 65, 'worldview': 'Деизм'}
{'academic_degree': 'Доктор наук', 'address': 'ул. Промышленная 284', 'age': 48, 'passport_number': 935995, 'snils': '13025217701', 'telephone': '+7-(935)-786-02-19', 'university': 'Бауманское МГТУ', 'weight': 68, 'worldview': 'Иудаизм'}
{'academic_degree': 'Доктор наук', 'address': 'Аллея Анны Северьяновой 381', 'age': 48, 'passport_number': 119753, 'snils': '60176947397', 'telephone': '+7-(962)-936-04-75', 'university': 'Санкт-Петербургский государственный архитектурно-строительный университет', 'weight': 48, 'worldview': 'Иудаизм'}
{'academic_degree': 'Доктор наук', 'address': 'Аллея Ружейная 1215', 'age': 48, 'passport_number': 115215, 'snils': '06963024277', 'telephone': '+7-(968)-965-80-47', 'university': 'МГУ им. Ломоносова', 'weight': 53, 'worldview': 'Иудаизм'}
{'academic_degree': 'Доктор наук', 'address': 'Аллея Ляминская 1224', 'age': 48, 'passport_number': 292089, 'snils': '61777707735', 'telephone': '+7-(999)-456-47-11', 'university': 'Санкт-Петербургский государственный архитектурно-строительный университет', 'weight': 90, 'worldview': 'Пантеизм'}
{'academic_degree': 'Магистр', 'address': 'Аллея Крылатские Холмы 695', 'age': 48, 'passport_number': 214445, 'snils': '92501036764', 'telephone': '+7-(936)-785-05-59', 'university': 'Госуниверситет гражданской авиации', 'weight': 87, 'worldview': 'Пантеизм'}
{'academic_degree': 'Специалист', 'address': 'ул. Лубочная 433', 'age': 48, 'passport_number': 148368, 'snils': '45210739959', 'telephone': '+7-(904)-404-65-06', 'university': 'Московский авиационный институт', 'weight': 69, 'worldview': 'Иудаизм'}
{'academic_degree': 'Кандидат наук', 'address': 'ул. Крылатские Холмы 1024', 'age': 48, 'passport_number': 626510, 'snils': '82246014066', 'telephone': '+7-(999)-205-77-62', 'university': 'Московский авиационный институт', 'weight': 46, 'worldview': 'Конфуцианство'}
{'academic_degree': 'Бакалавр', 'address': 'Аллея Сокольническая Слободка 341', 'age': 48, 'passport_number': 541216, 'snils': '97263528951', 'telephone': '+7-(968)-076-26-49', 'university': 'Госуниверситет гражданской авиации', 'weight': 71, 'worldview': 'Буддизм'}
{'academic_degree': 'Бакалавр', 'address': 'Аллея Сафоновская 695', 'age': 48, 'passport_number': 589693, 'snils': '05004029589', 'telephone': '+7-(909)-358-12-81', 'university': 'Санкт-Петербургский государственный архитектурно-строительный университет', 'weight': 61, 'worldview': 'Католицизм'}
{'academic_degree': 'Кандидат наук', 'address': 'ул. Московская 1357', 'age': 48, 'passport_number': 878798, 'snils': '99644065772', 'telephone': '+7-(968)-448-26-20', 'university': 'Университет аэрокосмического приборостроения', 'weight': 67, 'worldview': 'Атеизм'}
{'academic_degree': 'Бакалавр', 'address': 'Аллея Синельниковская 862', 'age': 48, 'passport_number': 458767, 'snils': '80430596177', 'telephone': '+7-(933)-961-65-56', 'university': 'СПбГУ', 'weight': 67, 'worldview': 'Деизм'}
{'academic_degree': 'Бакалавр', 'address': 'Аллея Мытищинская 1-я 991', 'age': 48, 'passport_number': 262151, 'snils': '26413725563', 'telephone': '+7-(961)-282-73-87', 'university': 'Московский авиационный институт', 'weight': 74, 'worldview': 'Агностицизм'}
{'academic_degree': 'Магистр', 'address': 'Аллея Путилковское 1187', 'age': 48, 'passport_number': 857482, 'snils': '43270647570', 'telephone': '+7-(968)-892-61-12', 'university': 'Филиал Российской правовой академии', 'weight': 74, 'worldview': 'Атеизм'}
{'academic_degree': 'Кандидат наук', 'address': 'Аллея Горчакова 784', 'age': 48, 'passport_number': 564058, 'snils': '27618100267', 'telephone': '+7-(999)-019-09-12', 'university': 'Госуниверситет гражданской авиации', 'weight': 56, 'worldview': 'Пантеизм'}
{'academic_degree': 'Доктор наук', 'address': 'ул. Партийная 775', 'age': 48, 'passport_number': 256414, 'snils': '95437296754', 'telephone': '+7-(968)-307-63-05', 'university': 'Санкт-Петербургский государственный политехнический университет', 'weight': 87, 'worldview': 'Секулярный гуманизм'}
{'academic_degree': 'Магистр', 'address': 'ул. Луговой 589', 'age': 48, 'passport_number': 230956, 'snils': '69244444220', 'telephone': '+7-(921)-268-33-01', 'university': 'Госуниверситет гражданской авиации', 'weight': 41, 'worldview': 'Агностицизм'}
{'academic_degree': 'Магистр', 'address': 'ул. Лобачевского 901', 'age': 48, 'passport_number': 101485, 'snils': '59562204719', 'telephone': '+7-(909)-167-61-38', 'university': 'МФТИ', 'weight': 46, 'worldview': 'Атеизм'}
{'academic_degree': 'Магистр', 'address': 'ул. Неманская 1083', 'age': 48, 'passport_number': 536866, 'snils': '48391376427', 'telephone': '+7-(960)-566-37-82', 'university': 'Санкт-Петербургский государственный политехнический университет', 'weight': 74, 'worldview': 'Иудаизм'}
{'academic_degree': 'Кандидат наук', 'address': 'Аллея Макеевская 838', 'age': 48, 'passport_number': 229584, 'snils': '33084322747', 'telephone': '+7-(905)-404-68-68', 'university': 'Ульяновский высший авиационный институт гражданской авиации', 'weight': 41, 'worldview': 'Пантеизм'}
{'academic_degree': 'Кандидат наук', 'address': 'ул. Соболевская 632', 'age': 48, 'passport_number': 781290, 'snils': '07240382033', 'telephone': '+7-(999)-473-47-47', 'university': 'Университет аэрокосмического приборостроения', 'weight': 86, 'worldview': 'Секулярный гуманизм'}
{'academic_degree': 'Кандидат наук', 'address': 'Аллея Кабельная 4-я 864', 'age': 48, 'passport_number': 207765, 'snils': '82446105790', 'telephone': '+7-(933)-720-62-55', 'university': 'Филиал Академии Генеральной прокуратуры РФ', 'weight': 51, 'worldview': 'Секулярный гуманизм'}
{'academic_degree': 'Кандидат наук', 'address': 'Аллея Самарская 652', 'age': 48, 'passport_number': 521683, 'snils': '59852838371', 'telephone': '+7-(937)-179-17-30', 'university': 'МГУ им. Ломоносова', 'weight': 66, 'worldview': 'Агностицизм'}
{'academic_degree': 'Магистр', 'address': 'Аллея Костикова 603', 'age': 48, 'passport_number': 183118, 'snils': '44708051780', 'telephone': '+7-(930)-265-43-80', 'university': 'Государственный технологический университет им. К.Э. Циолковского', 'weight': 51, 'worldview': 'Пантеизм'}
{'academic_degree': 'Кандидат наук', 'address': 'Аллея Университетская 1278', 'age': 48, 'passport_number': 217674, 'snils': '71448350796', 'telephone': '+7-(938)-640-06-94', 'university': 'Государственный технологический университет им. К.Э. Циолковского', 'weight': 67, 'worldview': 'Секулярный гуманизм'}
{'academic_degree': 'Бакалавр', 'address': 'ул. Генерала Кузнецова 737', 'age': 48, 'passport_number': 532748, 'snils': '74439452423', 'telephone': '+7-(909)-246-38-79', 'university': 'Госуниверситет нефти и газа имени Губкина', 'weight': 50, 'worldview': 'Агностицизм'}
{'academic_degree': 'Специалист', 'address': 'Аллея Ащеулов 95', 'age': 48, 'passport_number': 171224, 'snils': '93449950960', 'telephone': '+7-(917)-651-42-80', 'university': 'Новосибирский технический госуниверситет', 'weight': 62, 'worldview': 'Конфуцианство'}
{'academic_degree': 'Специалист', 'address': 'ул. Рязанская 785', 'age': 48, 'passport_number': 358036, 'snils': '35319791500', 'telephone': '+7-(968)-866-20-03', 'university': 'МГУ им. Ломоносова', 'weight': 76, 'worldview': 'Иудаизм'}
{'academic_degree': 'Бакалавр', 'address': 'ул. Кузьминская 1143', 'age': 48, 'passport_number': 588088, 'snils': '85365998475', 'telephone': '+7-(999)-709-91-15', 'university': 'Госуниверситет гражданской авиации', 'weight': 82, 'worldview': 'Агностицизм'}
{'academic_degree': 'Кандидат наук', 'address': 'ул. Варварские Ворота 1055', 'age': 48, 'passport_number': 833247, 'snils': '86651336331', 'telephone': '+7-(926)-733-81-28', 'university': 'Филиал Российской академии правосудия', 'weight': 60, 'worldview': 'Буддизм'}
{'academic_degree': 'Кандидат наук', 'address': 'Аллея Кронштадтская 1024', 'age': 48, 'passport_number': 211527, 'snils': '39362071189', 'telephone': '+7-(918)-556-30-39', 'university': 'Госуниверситет нефти и газа имени Губкина', 'weight': 54, 'worldview': 'Конфуцианство'}
{'academic_degree': 'Бакалавр', 'address': 'Аллея Громова 250', 'age': 48, 'passport_number': 856868, 'snils': '96877393812', 'telephone': '+7-(917)-374-50-19', 'university': 'Санкт-Петербургский государственный архитектурно-строительный университет', 'weight': 60, 'worldview': 'Атеизм'}
{'academic_degree': 'Доктор наук', 'address': 'Аллея Петра Романова 442', 'age': 48, 'passport_number': 722461, 'snils': '45113972367', 'telephone': '+7-(999)-222-48-65', 'university': 'Государственная морская академия имени адмирала С.О. Макарова', 'weight': 51, 'worldview': 'Агностицизм'}
{'academic_degree': 'Специалист', 'address': 'ул. Шумилова 1238', 'age': 48, 'passport_number': 787687, 'snils': '25006075624', 'telephone': '+7-(999)-131-36-77', 'university': 'Филиал Российской правовой академии', 'weight': 90, 'worldview': 'Агностицизм'}
{'academic_degree': 'Доктор наук', 'address': 'ул. Задонская 629', 'age': 48, 'passport_number': 594640, 'snils': '65367047717', 'telephone': '+7-(934)-806-26-17', 'university': 'Санкт-Петербургский государственный политехнический университет', 'weight': 46, 'worldview': 'Секулярный гуманизм'}
{'academic_degree': 'Кандидат наук', 'address': 'Аллея Терлецкая 801', 'age': 48, 'passport_number': 375723, 'snils': '41851815483', 'telephone': '+7-(910)-484-48-88', 'university': 'Госуниверситет нефти и газа имени Губкина', 'weight': 62, 'worldview': 'Иудаизм'}
{'academic_degree': 'Магистр', 'address': 'ул. Старокрымская 1021', 'age': 48, 'passport_number': 518241, 'snils': '81854868252', 'telephone': '+7-(997)-029-46-31', 'university': 'Филиал Российской академии правосудия', 'weight': 87, 'worldview': 'Католицизм'}
{'academic_degree': 'Специалист', 'address': 'ул. Уржумская 849', 'age': 48, 'passport_number': 374862, 'snils': '96982653194', 'telephone': '+7-(939)-254-25-71', 'university': 'МГУ им. Ломоносова', 'weight': 83, 'worldview': 'Иудаизм'}
{'academic_degree': 'Кандидат наук', 'address': 'ул. Крылатская 3-я 604', 'age': 48, 'passport_number': 351115, 'snils': '53844261803', 'telephone': '+7-(968)-423-26-34', 'university': 'Санкт-Петербургский государственный архитектурно-строительный университет', 'weight': 63, 'worldview': 'Иудаизм'}
{'academic_degree': 'Специалист', 'address': 'ул. Хлебная 844', 'age': 48, 'passport_number': 868639, 'snils': '75554285432', 'telephone': '+7-(931)-532-88-15', 'university': 'Новосибирский технический госуниверситет', 'weight': 60, 'worldview': 'Католицизм'}
{'academic_degree': 'Доктор наук', 'address': 'Аллея Хлыновская 1268', 'age': 48, 'passport_number': 514839, 'snils': '83769493881', 'telephone': '+7-(922)-582-88-86', 'university': 'Государственный технологический университет им. К.Э. Циолковского', 'weight': 68, 'worldview': 'Пантеизм'}
{'academic_degree': 'Бакалавр', 'address': 'ул. Дворникова 1079', 'age': 48, 'passport_number': 360746, 'snils': '72167659315', 'telephone': '+7-(909)-827-99-96', 'university': 'МГУ им. Ломоносова', 'weight': 66, 'worldview': 'Секулярный гуманизм'}
{'academic_degree': 'Кандидат наук', 'address': 'ул. Радужная 1354', 'age': 48, 'passport_number': 242719, 'snils': '20300235773', 'telephone': '+7-(909)-626-32-66', 'university': 'Госуниверситет гражданской авиации', 'weight': 69, 'worldview': 'Атеизм'}
{'academic_degree': 'Магистр', 'address': 'ул. Леонова 1-я 1384', 'age': 48, 'passport_number': 459569, 'snils': '37000428424', 'telephone': '+7-(965)-615-58-78', 'university': 'Авиационно-технический университетАвиационно-технический университет', 'weight': 65, 'worldview': 'Деизм'}
{'academic_degree': 'Доктор наук', 'address': 'ул. Сурская 434', 'age': 48, 'passport_number': 693820, 'snils': '13731945466', 'telephone': '+7-(968)-361-77-13', 'university': 'МГУ им. Ломоносова', 'weight': 67, 'worldview': 'Иудаизм'}
{'academic_degree': 'Кандидат наук', 'address': 'Аллея Филаретовская 1300', 'age': 48, 'passport_number': 850213, 'snils': '79447564975', 'telephone': '+7-(909)-288-84-91', 'university': 'Томский национальный исследовательский политех', 'weight': 78, 'worldview': 'Конфуцианство'}
{'academic_degree': 'Доктор наук', 'address': 'ул. Островитянова 601', 'age': 48, 'passport_number': 526998, 'snils': '07505246047', 'telephone': '+7-(909)-924-58-94', 'university': 'Филиал Российской правовой академии', 'weight': 49, 'worldview': 'Конфуцианство'}
{'academic_degree': 'Специалист', 'address': 'Аллея Киевского Вокзала 441', 'age': 48, 'passport_number': 486927, 'snils': '98200660807', 'telephone': '+7-(999)-221-52-06', 'university': 'СПбГУ', 'weight': 81, 'worldview': 'Агностицизм'}
{'academic_degree': 'Бакалавр', 'address': 'ул. Горловская 1-я 690', 'age': 48, 'passport_number': 306956, 'snils': '18158004259', 'telephone': '+7-(909)-688-22-50', 'university': 'Авиационно-технический университетАвиационно-технический университет', 'weight': 70, 'worldview': 'Буддизм'}
{'academic_degree': 'Кандидат наук', 'address': 'Аллея Федоскинская 1273', 'age': 48, 'passport_number': 891316, 'snils': '14423856155', 'telephone': '+7-(909)-442-57-13', 'university': 'Санкт-Петербургский государственный политехнический университет', 'weight': 46, 'worldview': 'Конфуцианство'}
{'academic_degree': 'Бакалавр', 'address': 'ул. Писцовая 805', 'age': 48, 'passport_number': 641940, 'snils': '20983422473', 'telephone': '+7-(968)-637-54-37', 'university': 'Госуниверситет нефти и газа имени Губкина', 'weight': 87, 'worldview': 'Секулярный гуманизм'}
{'academic_degree': 'Кандидат наук', 'address': 'Аллея Северодонецкая 1-я 945', 'age': 48, 'passport_number': 375059, 'snils': '43308200230', 'telephone': '+7-(920)-453-74-03', 'university': 'Томский национальный исследовательский политех', 'weight': 71, 'worldview': 'Деизм'}
{'academic_degree': 'Кандидат наук', 'address': 'ул. Перерва 424', 'age': 48, 'passport_number': 933999, 'snils': '40467945092', 'telephone': '+7-(968)-234-24-01', 'university': 'МГУ им. Ломоносова', 'weight': 84, 'worldview': 'Иудаизм'}
{'academic_degree': 'Кандидат наук', 'address': 'ул. Нахимовская 599', 'age': 48, 'passport_number': 470840, 'snils': '42939827028', 'telephone': '+7-(909)-277-63-56', 'university': 'МФТИ', 'weight': 49, 'worldview': 'Атеизм'}
{'academic_degree': 'Магистр', 'address': 'ул. Новые Сады 3-я 952', 'age': 48, 'passport_number': 412322, 'snils': '35395339105', 'telephone': '+7-(915)-023-46-26', 'university': 'Государственный технологический университет им. К.Э. Циолковского', 'weight': 65, 'worldview': 'Конфуцианство'}
{'academic_degree': 'Бакалавр', 'address': 'Аллея Лихоборская 979', 'age': 48, 'passport_number': 333041, 'snils': '65172599117', 'telephone': '+7-(910)-004-62-19', 'university': 'Университет аэрокосмического приборостроения', 'weight': 90, 'worldview': 'Агностицизм'}
{'academic_degree': 'Магистр', 'address': 'ул. Павла Андреева 1342', 'age': 48, 'passport_number': 313100, 'snils': '59389401451', 'telephone': '+7-(968)-313-47-73', 'university': 'Санкт-Петербургский государственный архитектурно-строительный университет', 'weight': 81, 'worldview': 'Иудаизм'}
{'academic_degree': 'Доктор наук', 'address': 'Аллея Сигнальная 62', 'age': 48, 'passport_number': 594893, 'snils': '51362320138', 'telephone': '+7-(925)-740-26-42', 'university': 'Государственный технологический университет им. К.Э. Циолковского', 'weight': 74, 'worldview': 'Агностицизм'}
{'academic_degree': 'Доктор наук', 'address': 'Аллея Запорожская 186', 'age': 48, 'passport_number': 587330, 'snils': '11493449261', 'telephone': '+7-(968)-840-73-16', 'university': 'Новосибирский технический госуниверситет', 'weight': 75, 'worldview': 'Иудаизм'}
{'academic_degree': 'Кандидат наук', 'address': 'ул. Ярцевская 835', 'age': 49, 'passport_number': 311264, 'snils': '07417190055', 'telephone': '+7-(999)-221-87-17', 'university': 'Госуниверситет нефти и газа имени Губкина', 'weight': 74, 'worldview': 'Агностицизм'}
{'academic_degree': 'Магистр', 'address': 'ул. Чертольская 657', 'age': 49, 'passport_number': 315355, 'snils': '16020774429', 'telephone': '+7-(997)-067-14-89', 'university': 'Университет аэрокосмического приборостроения', 'weight': 77, 'worldview': 'Пантеизм'}
{'academic_degree': 'Специалист', 'address': 'ул. Шокина 378', 'age': 49, 'passport_number': 765355, 'snils': '08349978833', 'telephone': '+7-(968)-686-43-57', 'university': 'Государственный технологический университет им. К.Э. Циолковского', 'weight': 45, 'worldview': 'Иудаизм'}
{'academic_degree': 'Кандидат наук', 'address': 'ул. Волоколамская 661', 'age': 49, 'passport_number': 253585, 'snils': '04804734052', 'telephone': '+7-(909)-322-26-93', 'university': 'МГУ им. Ломоносова', 'weight': 61, 'worldview': 'Агностицизм'}
{'academic_degree': 'Специалист', 'address': 'ул. Льва Толстого 266', 'age': 49, 'passport_number': 706094, 'snils': '41208999987', 'telephone': '+7-(909)-469-36-14', 'university': 'Государственная морская академия имени адмирала С.О. Макарова', 'weight': 60, 'worldview': 'Католицизм'}
{'academic_degree': 'Магистр', 'address': 'Аллея Красная 475', 'age': 49, 'passport_number': 969928, 'snils': '92263877734', 'telephone': '+7-(917)-289-23-51', 'university': 'МГУ им. Ломоносова', 'weight': 73, 'worldview': 'Иудаизм'}
{'academic_degree': 'Бакалавр', 'address': 'Аллея Черное Озеро 620', 'age': 49, 'passport_number': 560248, 'snils': '29525522192', 'telephone': '+7-(999)-889-71-78', 'university': 'Госуниверситет нефти и газа имени Губкина', 'weight': 88, 'worldview': 'Деизм'}
{'academic_degree': 'Специалист', 'address': 'ул. Багрицкого 142', 'age': 49, 'passport_number': 571204, 'snils': '12284807355', 'telephone': '+7-(912)-899-85-35', 'university': 'Филиал Российской академии правосудия', 'weight': 42, 'worldview': 'Буддизм'}
{'academic_degree': 'Магистр', 'address': 'ул. Третьего Интернационала 889', 'age': 49, 'passport_number': 572456, 'snils': '31477545384', 'telephone': '+7-(918)-271-90-31', 'university': 'Московский авиационный институт', 'weight': 64, 'worldview': 'Буддизм'}
{'academic_degree': 'Магистр', 'address': 'ул. Жигулевская 432', 'age': 49, 'passport_number': 284263, 'snils': '09708344800', 'telephone': '+7-(917)-903-80-41', 'university': 'Филиал Российской академии правосудия', 'weight': 63, 'worldview': 'Католицизм'}
{'academic_degree': 'Бакалавр', 'address': 'Аллея Лубянская 1076', 'age': 49, 'passport_number': 740146, 'snils': '37054456378', 'telephone': '+7-(999)-669-81-58', 'university': 'Госуниверситет гражданской авиации', 'weight': 46, 'worldview': 'Буддизм'}
{'academic_degree': 'Доктор наук', 'address': 'Аллея Косой 1028', 'age': 49, 'passport_number': 896950, 'snils': '53216482062', 'telephone': '+7-(960)-997-64-60', 'university': 'Государственный технологический университет им. К.Э. Циолковского', 'weight': 49, 'worldview': 'Конфуцианство'}
{'academic_degree': 'Бакалавр', 'address': 'ул. Нижегородская 940', 'age': 49, 'passport_number': 294055, 'snils': '13089186570', 'telephone': '+7-(927)-667-25-52', 'university': 'Государственная морская академия имени адмирала С.О. Макарова', 'weight': 43, 'worldview': 'Конфуцианство'}
{'academic_degree': 'Доктор наук', 'address': 'ул. Линии Октябрьской Железной Дороги 107', 'age': 49, 'passport_number': 662051, 'snils': '47510532469', 'telephone': '+7-(968)-761-81-49', 'university': 'Московский авиационный институт', 'weight': 86, 'worldview': 'Буддизм'}
{'academic_degree': 'Кандидат наук', 'address': 'ул. Череповецкая 1167', 'age': 49, 'passport_number': 158566, 'snils': '80616706594', 'telephone': '+7-(964)-519-12-52', 'university': 'МФТИ', 'weight': 72, 'worldview': 'Агностицизм'}
{'academic_degree': 'Кандидат наук', 'address': 'Аллея Александровка 1054', 'age': 49, 'passport_number': 628448, 'snils': '63695786667', 'telephone': '+7-(924)-799-51-59', 'university': 'Университет аэрокосмического приборостроения', 'weight': 46, 'worldview': 'Иудаизм'}
{'academic_degree': 'Бакалавр', 'address': 'ул. Каштановая 808', 'age': 49, 'passport_number': 530881, 'snils': '88739101456', 'telephone': '+7-(927)-845-37-33', 'university': 'Бауманское МГТУ', 'weight': 41, 'worldview': 'Католицизм'}
{'academic_degree': 'Доктор наук', 'address': 'Аллея Маресьева 408', 'age': 49, 'passport_number': 574983, 'snils': '85534144815', 'telephone': '+7-(969)-948-21-38', 'university': 'Новосибирский технический госуниверситет', 'weight': 78, 'worldview': 'Деизм'}
{'academic_degree': 'Магистр', 'address': 'ул. Донелайтиса 796', 'age': 49, 'passport_number': 487646, 'snils': '98606280350', 'telephone': '+7-(940)-003-36-31', 'university': 'СПбГУ', 'weight': 90, 'worldview': 'Атеизм'}
{'academic_degree': 'Магистр', 'address': 'Аллея Мценская 1270', 'age': 49, 'passport_number': 683898, 'snils': '48430349996', 'telephone': '+7-(912)-211-10-55', 'university': 'Санкт-Петербургский государственный архитектурно-строительный университет', 'weight': 48, 'worldview': 'Пантеизм'}
{'academic_degree': 'Специалист', 'address': 'Аллея Сперанского 455', 'age': 49, 'passport_number': 773794, 'snils': '33601837658', 'telephone': '+7-(999)-882-51-87', 'university': 'Ульяновский высший авиационный институт гражданской авиации', 'weight': 60, 'worldview': 'Конфуцианство'}
{'academic_degree': 'Магистр', 'address': 'ул. Подмосковная 1033', 'age': 49, 'passport_number': 641393, 'snils': '49937735271', 'telephone': '+7-(924)-909-16-03', 'university': 'Санкт-Петербургский политехнический университет', 'weight': 53, 'worldview': 'Католицизм'}
